工作名称,工作薪资,工作网站,公司名称,公司网站,公司性质,公司地点,公司标签,公司人数,公司待遇,工作年限,招聘日期
Java开发工程师,1.5-2万/月,https://jobs.51job.com/beijing-cyq/125478237.html?s=01&t=0,北京欧维博思软件有限公司,https://jobs.51job.com/all/co6078096.html,北京-朝阳区,民营公司,计算机软件,50-150人,五险一金 补充医疗保险 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,5,2020-09-16 04:17:22
Java开发工程师,1-2万/月,https://jobs.51job.com/beijing/125476552.html?s=01&t=0,北京航星永志科技有限公司,https://jobs.51job.com/all/co2040455.html,北京,民营公司,计算机软件,500-1000人,五险一金 员工旅游 通讯补贴 绩效奖金 定期体检,6,2020-09-16 04:17:22
java高级开发,1.5-1.9万/月,https://jobs.51job.com/beijing-cyq/125471354.html?s=01&t=0,大连分众科技有限公司,https://jobs.51job.com/all/co4390451.html,北京-朝阳区,民营公司,计算机软件,50-150人,,5,2020-09-16 04:17:22
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-dcq/125469378.html?s=01&t=0,山东中创软件工程股份有限公司,https://jobs.51job.com/all/co5886002.html,北京-东城区,民营公司,计算机软件,1000-5000人,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检,5,2020-09-16 04:17:22
Java工程师（北京）,,https://jobs.51job.com/beijing/125331106.html?s=01&t=0,兴业数字金融服务（上海）股份有限公司,https://jobs.51job.com/all/co6070319.html,北京,合资,金融/投资/证券,,,,2020-09-16 04:17:22
java工程师初级,0.5-1万/月,https://jobs.51job.com/beijing-syq/125270051.html?s=01&t=0,北京爱特博旅运服务有限责任公司,https://jobs.51job.com/all/co6067897.html,北京-顺义区,民营公司,交通/运输/物流,150-500人,五险一金 补充公积金 绩效奖金 专业培训 交通补贴 餐饮补贴 通讯补贴,4,2020-09-16 04:17:22
Java开发工程师,0.5-1万/月,https://jobs.51job.com/xian-gxjs/125147359.html?s=01&t=0,大连易云科技有限公司,https://jobs.51job.com/all/co3044230.html,异地招聘,民营公司,计算机软件,少于50人,五险一金 年终奖金 绩效奖金 专业培训 弹性工作,4,2020-09-16 04:17:22
软件研发岗（Java/Android）（中国电信集团系统集成有限责任公司）,,https://jobs.51job.com/beijing/124516819.html?s=01&t=0,系统集成有限责任公司,https://jobs.51job.com/all/co5997332.html,北京,国企,通信/电信运营、增值服务,,,,2020-09-16 04:17:22
JAVA开发工程师-2021秋招（北京）,,https://jobs.51job.com/beijing/124405395.html?s=01&t=0,同程旅行,https://jobs.51job.com/all/co6012307.html,北京,民营公司,酒店/旅游,,,,2020-09-16 04:17:22
JAVA软件开发工程师（中国通建设计院）,,https://jobs.51job.com/beijing/124402151.html?s=01&t=0,中国通信服务股份有限公司,https://jobs.51job.com/all/co5990806.html,北京,国企,通信/电信运营、增值服务,,,,2020-09-16 04:17:22
